anchor,synset,lemma,hypernym,hypernym_lemma,bad,to_fix
animal,animal.n.01,animal,organism.n.01,organism,,
arts and crafts supply,x,x,x,x,1,
bird,bird.n.01,bird,vertebrate.n.01,vertebrate,,
body part,-,body part,x,x,1,
breakfast food,none,breakfast,food.n.01,food,,
candy,candy.n.01,candy,sweet.n.03,sweet,,
clothing,clothing.n.01,clothing,covering.n.02,covering,,
clothing accessory,accessory.n.01,accessory,clothing.n.01,clothing,,1
condiment,condiment.n.01,condiment,foodstuff.n.02,food product,,
construction equipment,x,x,x,x,1,
container,container.n.01,container,storage,storage,,1
dessert,dessert.n.01,dessert,food.n.01,food,,
drink,drink.n.03,drink,food.n.01,food,,
electronic device,electronic_device.n.01,electronic device,device.n.01,device,,
farm animal,livestock.n.01,livestock,mammal.n.01,mammal,,
fastener,fastener.n.01,fastener,connector.n.01,connector,,
food,food.n.01,food,substance.n.08,substance,,
footwear,footwear.n.01,footwear,covering.n.02,covering,,
fruit,edible_fruit.n.01,fruit,produce.n.01,produce,,
furniture,furniture.n.01,furniture,decoration.n.01,decoration,,
game,game.n.01,game,activity.n.01,activity,,
garden tool,garden_tool.n.01,garden tool,tool.n.01,tool,,
hardware,tool.n.01,tool,implement.n.01,instrument,,
headwear,headgear.n.01,headwear,clothing.n.01,clothing,,
home appliance,home_appliance.n.01,home appliance,appliance.n.01,appliance,1,
home decor,decor.n.01,home decor,decoration.n.01,decoration,,
insect,insect.n.01,insect,animal.n.01,animal,,
jewelry,jewelry.n.01,jewelry,decoration.n.01,decoration,,
kitchen appliance,kitchen_appliance.n.01,kitchen equipment,home_appliance.n.01,home appliance,,1
kitchen tool,-,kitchen tool,tool.n.01,tool,,
lighting,lighting.n.02,lighting,equipment.n.01,equipment,1,
mammal,mammal.n.01,mammal,vertebrate.n.01,vertebrate,,
medical equipment,medical_instrument.n.01,medical equipment,instrument.n.01,instrument,,
musical instrument,musical_instrument.n.01,musical instrument,device.n.01,device,,
office supply,-,office supply,equipment.n.01,equipment,,
outerwear,outerwear.n.01,outerwear,clothing.n.01,clothing,,
part of car,auto_part.n.01,auto part,component.n.01,component,,
personal hygiene item,toiletry.n.01,toiletry,-,utilities,,
plant,plant.n.02,plant,organism.n.01,organism,,
protective clothing,-,protective clothing,clothing.n.01,clothing,,
safety equipment,x,x,x,x,1,
school supply,-,school supply,equipment.n.01,equipment,,
scientific equipment,,,,,1,
sea animal,sea_animal.n.01,sea animal,animal.n.01,animal,,1
seafood,seafood.n.01,seafood,food.n.01,food,,
sports equipment,,,,,1,
tool,tool.n.01,tool,instrument.n.01,instrument,,
toy,toy.n.01,toy,artifact.n.01,artifact,,1
vegetable,vegetable.n.01,vegetable,produce.n.01,produce,,
vehicle,vehicle.n.01,vehicle,transport.n.01,transportation,,
watercraft,watercraft.n.01,water vehicle,vehicle.n.01,vehicle,,
weapon,weapon.n.01,weapon,instrument.n.01,instrument,,
women's clothing,-,women's clothing,clothing.n.01,clothing,,