anchor,anchor-sense,hyponym
home decor,interior_decoration.n.01,lemon
home decor,interior_decoration.n.01,latch
home decor,interior_decoration.n.01,costume
home decor,interior_decoration.n.01,outfit
home decor,interior_decoration.n.01,rabbit
home decor,interior_decoration.n.01,dashboard
home decor,interior_decoration.n.01,coil
home decor,interior_decoration.n.01,dustpan
home decor,interior_decoration.n.01,banana
home decor,interior_decoration.n.01,highlighter
home decor,interior_decoration.n.01,bull
home decor,interior_decoration.n.01,dress
home decor,interior_decoration.n.01,nut
home decor,interior_decoration.n.01,puppy
home decor,interior_decoration.n.01,bolt
home decor,interior_decoration.n.01,green beans
home decor,interior_decoration.n.01,lasagna
home decor,interior_decoration.n.01,trunk
home decor,interior_decoration.n.01,bow
home decor,interior_decoration.n.01,string cheese
home decor,interior_decoration.n.01,trident
home decor,interior_decoration.n.01,robe
home decor,interior_decoration.n.01,scallop
home decor,interior_decoration.n.01,lamb
home decor,interior_decoration.n.01,honey
home decor,interior_decoration.n.01,strawberry
home decor,interior_decoration.n.01,rooster
home decor,interior_decoration.n.01,rifle
home decor,interior_decoration.n.01,apple
home decor,interior_decoration.n.01,jelly bean
home decor,interior_decoration.n.01,sheep
home decor,interior_decoration.n.01,stretcher
home decor,interior_decoration.n.01,duckling
home decor,interior_decoration.n.01,keg
home decor,interior_decoration.n.01,tube top
home decor,interior_decoration.n.01,calf
home decor,interior_decoration.n.01,envelope
home decor,interior_decoration.n.01,backscratcher
home decor,interior_decoration.n.01,alligator
home decor,interior_decoration.n.01,zebra
home decor,interior_decoration.n.01,chain
home decor,interior_decoration.n.01,elephant
home decor,interior_decoration.n.01,whisk
home decor,interior_decoration.n.01,rope
home decor,interior_decoration.n.01,cantaloupe
home decor,interior_decoration.n.01,broom
insect,insect.n.01,margarita
insect,insect.n.01,squirrel
insect,insect.n.01,chair
insect,insect.n.01,worm
insect,insect.n.01,shrimp
insect,insect.n.01,maggot
insect,insect.n.01,maple syrup
insect,insect.n.01,rope
insect,insect.n.01,catfish
insect,insect.n.01,jacket
insect,insect.n.01,creme brulee
insect,insect.n.01,bat
insect,insect.n.01,scoop
insect,insect.n.01,squid
insect,insect.n.01,mole
insect,insect.n.01,toad
insect,insect.n.01,stiletto
insect,insect.n.01,mirror
fruit,edible_fruit.n.01,trident
fruit,edible_fruit.n.01,elephant
fruit,edible_fruit.n.01,duckling
fruit,edible_fruit.n.01,jacket
fruit,edible_fruit.n.01,margarita
fruit,edible_fruit.n.01,rabbit
fruit,edible_fruit.n.01,asparagus
fruit,edible_fruit.n.01,hook
fruit,edible_fruit.n.01,glass
fruit,edible_fruit.n.01,okra
fruit,edible_fruit.n.01,mirror
fruit,edible_fruit.n.01,chickpea
fruit,edible_fruit.n.01,lamb
fruit,edible_fruit.n.01,rack
fruit,edible_fruit.n.01,pecan
fruit,edible_fruit.n.01,ski boots
fruit,edible_fruit.n.01,zebra
fruit,edible_fruit.n.01,squash
fruit,edible_fruit.n.01,chair
fruit,edible_fruit.n.01,turkey
fruit,edible_fruit.n.01,jersey
fruit,edible_fruit.n.01,bean
fruit,edible_fruit.n.01,fruitcake
fruit,edible_fruit.n.01,rope
fruit,edible_fruit.n.01,gourd
fruit,edible_fruit.n.01,juice
fruit,edible_fruit.n.01,almond
fruit,edible_fruit.n.01,olive
fruit,edible_fruit.n.01,corn
fruit,edible_fruit.n.01,bassoon
fruit,edible_fruit.n.01,cinnamon
fruit,edible_fruit.n.01,clove
fruit,edible_fruit.n.01,puppy
fruit,edible_fruit.n.01,artichoke
plant,plant.n.02,trident
plant,plant.n.02,zebra
plant,plant.n.02,dustpan
plant,plant.n.02,pumpkin
plant,plant.n.02,hook
plant,plant.n.02,honey
plant,plant.n.02,alligator
plant,plant.n.02,bassoon
plant,plant.n.02,catfish
plant,plant.n.02,stretcher
plant,plant.n.02,mushroom
plant,plant.n.02,crayfish
plant,plant.n.02,jam
plant,plant.n.02,creme brulee
plant,plant.n.02,whipped cream
plant,plant.n.02,rearview mirror
plant,plant.n.02,cream cheese
plant,plant.n.02,rabbit
plant,plant.n.02,pepper
plant,plant.n.02,pot
plant,plant.n.02,maple syrup
plant,plant.n.02,taffy
plant,plant.n.02,chickpea
plant,plant.n.02,mirror
plant,plant.n.02,pea
plant,plant.n.02,squash
plant,plant.n.02,jacket
plant,plant.n.02,dynamite
plant,plant.n.02,zucchini
plant,plant.n.02,bikini
plant,plant.n.02,elephant
plant,plant.n.02,tube top
plant,plant.n.02,mandolin
plant,plant.n.02,margarita
plant,plant.n.02,bull
plant,plant.n.02,toast
plant,plant.n.02,chain
plant,plant.n.02,rope
plant,plant.n.02,sprouts
plant,plant.n.02,highlighter
plant,plant.n.02,scoop
plant,plant.n.02,cantaloupe
plant,plant.n.02,coil
plant,plant.n.02,latch
plant,plant.n.02,okra
plant,plant.n.02,scallion
plant,plant.n.02,goose
plant,plant.n.02,eel
animal,animal.n.01,cocktail
animal,animal.n.01,tube top
animal,animal.n.01,orchid
animal,animal.n.01,gumball
animal,animal.n.01,chalk
animal,animal.n.01,banana split
animal,animal.n.01,meat
animal,animal.n.01,belt
animal,animal.n.01,pot
animal,animal.n.01,blouse
animal,animal.n.01,ballot box
animal,animal.n.01,piecrust
animal,animal.n.01,hearing aid
animal,animal.n.01,cinnamon
animal,animal.n.01,tea
animal,animal.n.01,broom
animal,animal.n.01,saxophone
animal,animal.n.01,jelly bean
animal,animal.n.01,measuring cup
animal,animal.n.01,pocket watch
animal,animal.n.01,jeep
animal,animal.n.01,strawberry
animal,animal.n.01,mushroom
animal,animal.n.01,pumpkin
animal,animal.n.01,margarita
animal,animal.n.01,poinsettia
animal,animal.n.01,computer
animal,animal.n.01,pea
animal,animal.n.01,taffy
animal,animal.n.01,rocket
animal,animal.n.01,noodle
animal,animal.n.01,abacus
animal,animal.n.01,rack
animal,animal.n.01,chickpea
animal,animal.n.01,brake
animal,animal.n.01,swab
animal,animal.n.01,guacamole
animal,animal.n.01,cane
animal,animal.n.01,car
animal,animal.n.01,tostada
animal,animal.n.01,rifle
animal,animal.n.01,bassoon
animal,animal.n.01,kite
animal,animal.n.01,dollhouse
animal,animal.n.01,airplane
animal,animal.n.01,scoop
animal,animal.n.01,robe
animal,animal.n.01,mandolin
animal,animal.n.01,ski boots
animal,animal.n.01,bumper
animal,animal.n.01,peeler
animal,animal.n.01,jersey
animal,animal.n.01,whisk
animal,animal.n.01,router
animal,animal.n.01,stretcher
animal,animal.n.01,pepper
animal,animal.n.01,rattle
animal,animal.n.01,doghouse
animal,animal.n.01,belt buckle
animal,animal.n.01,wallpaper
animal,animal.n.01,grenade
animal,animal.n.01,zucchini
animal,animal.n.01,rope
animal,animal.n.01,broccoli
animal,animal.n.01,coil
animal,animal.n.01,creme brulee
animal,animal.n.01,stained glass
animal,animal.n.01,gumdrop
animal,animal.n.01,rollerblade
animal,animal.n.01,cordon bleu
animal,animal.n.01,incubator
animal,animal.n.01,tapestry
animal,animal.n.01,spatula
animal,animal.n.01,wheelbarrow
animal,animal.n.01,kaleidoscope
animal,animal.n.01,apple
animal,animal.n.01,aquarium
animal,animal.n.01,bolt
animal,animal.n.01,banjo
animal,animal.n.01,machete
animal,animal.n.01,hook
animal,animal.n.01,hook
animal,animal.n.01,scallion
animal,animal.n.01,prune
animal,animal.n.01,lighter
animal,animal.n.01,okra
animal,animal.n.01,envelope
animal,animal.n.01,rearview mirror
animal,animal.n.01,police car
animal,animal.n.01,stroller
animal,animal.n.01,turntable
animal,animal.n.01,brace
animal,animal.n.01,jacket
animal,animal.n.01,fishbowl
animal,animal.n.01,cantaloupe
animal,animal.n.01,banana
animal,animal.n.01,wrap
animal,animal.n.01,cream cheese
animal,animal.n.01,bowl
animal,animal.n.01,waffle
animal,animal.n.01,backscratcher
animal,animal.n.01,cornbread
animal,animal.n.01,mirror
animal,animal.n.01,knob
animal,animal.n.01,razor blade
animal,animal.n.01,scarecrow
animal,animal.n.01,cheeseburger
animal,animal.n.01,corsage
animal,animal.n.01,artichoke
animal,animal.n.01,lemon
animal,animal.n.01,maple syrup
animal,animal.n.01,lingerie
animal,animal.n.01,shortbread
animal,animal.n.01,hotdog
animal,animal.n.01,leotard
animal,animal.n.01,latch
animal,animal.n.01,granola
animal,animal.n.01,tongs
animal,animal.n.01,quad
animal,animal.n.01,stool
animal,animal.n.01,chain
animal,animal.n.01,celery
animal,animal.n.01,birthday cake
animal,animal.n.01,chariot
animal,animal.n.01,dustpan
animal,animal.n.01,spaghetti
animal,animal.n.01,drum
animal,animal.n.01,whipped cream
animal,animal.n.01,lettuce
animal,animal.n.01,lasagna
animal,animal.n.01,trident
animal,animal.n.01,bonnet
animal,animal.n.01,cheesecake
animal,animal.n.01,tweezers
animal,animal.n.01,peanut
animal,animal.n.01,glass
animal,animal.n.01,bikini
animal,animal.n.01,pickle
animal,animal.n.01,lemonade
animal,animal.n.01,jam
animal,animal.n.01,flour
animal,animal.n.01,chair
animal,animal.n.01,balloon
animal,animal.n.01,robot
animal,animal.n.01,tomato
animal,animal.n.01,ottoman
animal,animal.n.01,clover
animal,animal.n.01,toast
animal,animal.n.01,centerpiece
animal,animal.n.01,sprouts
animal,animal.n.01,string cheese
animal,animal.n.01,honey
animal,animal.n.01,coop
animal,animal.n.01,mascara
animal,animal.n.01,test tube
animal,animal.n.01,triangle
animal,animal.n.01,razor
animal,animal.n.01,cape
animal,animal.n.01,bunkbed
animal,animal.n.01,spear
animal,animal.n.01,squash
animal,animal.n.01,go-kart
animal,animal.n.01,peanut butter
animal,animal.n.01,nail clippers
animal,animal.n.01,flask
animal,animal.n.01,bus
animal,animal.n.01,fruitcake
animal,animal.n.01,onion
animal,animal.n.01,lip balm
animal,animal.n.01,pineapple
animal,animal.n.01,macaroni
animal,animal.n.01,highlighter
animal,animal.n.01,dynamite
animal,animal.n.01,stiletto
animal,animal.n.01,nut
animal,animal.n.01,pinwheel
animal,animal.n.01,fork
animal,animal.n.01,penlight
toiletry,toiletry.n.01,cantaloupe
toiletry,toiletry.n.01,chain
toiletry,toiletry.n.01,coil
toiletry,toiletry.n.01,whisk
toiletry,toiletry.n.01,jacket
toiletry,toiletry.n.01,puppy
toiletry,toiletry.n.01,abacus
toiletry,toiletry.n.01,bolt
toiletry,toiletry.n.01,scallop
toiletry,toiletry.n.01,stretcher
toiletry,toiletry.n.01,backscratcher
toiletry,toiletry.n.01,calf
toiletry,toiletry.n.01,lamb
toiletry,toiletry.n.01,rope
toiletry,toiletry.n.01,tube top
toiletry,toiletry.n.01,duckling
toiletry,toiletry.n.01,latch
toiletry,toiletry.n.01,honey
toiletry,toiletry.n.01,hawk
toiletry,toiletry.n.01,elephant
toiletry,toiletry.n.01,highlighter
toiletry,toiletry.n.01,dustpan
toiletry,toiletry.n.01,bull
toiletry,toiletry.n.01,crayfish
toiletry,toiletry.n.01,envelope
toiletry,toiletry.n.01,nut
toiletry,toiletry.n.01,rooster
toiletry,toiletry.n.01,rabbit
toiletry,toiletry.n.01,hook
toiletry,toiletry.n.01,zebra
toiletry,toiletry.n.01,bassoon
toiletry,toiletry.n.01,keg
food,food.n.01,stove
food,food.n.01,inhaler
food,food.n.01,slicer
food,food.n.01,car
food,food.n.01,canister
food,food.n.01,bonsai
food,food.n.01,handle
food,food.n.01,slug
food,food.n.01,diaper
food,food.n.01,whale
food,food.n.01,balloon
food,food.n.01,lectern
food,food.n.01,wallpaper
food,food.n.01,comb
food,food.n.01,ivy
food,food.n.01,bamboo
food,food.n.01,chinchilla
food,food.n.01,mixer
food,food.n.01,bongo
food,food.n.01,revolver
food,food.n.01,centerpiece
food,food.n.01,latch
food,food.n.01,bonnet
food,food.n.01,eagle
food,food.n.01,water bottle
food,food.n.01,highchair
food,food.n.01,tape recorder
food,food.n.01,anklet
food,food.n.01,chain
food,food.n.01,noisemaker
food,food.n.01,watering can
food,food.n.01,ant
food,food.n.01,ostrich
food,food.n.01,jersey
food,food.n.01,ashtray
food,food.n.01,penguin
food,food.n.01,deodorant
food,food.n.01,chalk
food,food.n.01,puppy
food,food.n.01,doghouse
food,food.n.01,rattlesnake
food,food.n.01,alpaca
food,food.n.01,bunkbed
food,food.n.01,lego
food,food.n.01,stained glass
food,food.n.01,whisk
food,food.n.01,cobra
food,food.n.01,muff
food,food.n.01,closet
food,food.n.01,cape
food,food.n.01,machete
food,food.n.01,cruise ship
food,food.n.01,combination lock
food,food.n.01,hotplate
food,food.n.01,pocket watch
food,food.n.01,tongs
food,food.n.01,nail file
food,food.n.01,buckle
food,food.n.01,cougar
food,food.n.01,rearview mirror
food,food.n.01,razor
food,food.n.01,broom
food,food.n.01,vest
food,food.n.01,cardigan
food,food.n.01,spear
food,food.n.01,cane
food,food.n.01,coffin
food,food.n.01,coaster
food,food.n.01,rollerskate
food,food.n.01,juicer
food,food.n.01,backscratcher
food,food.n.01,moss
food,food.n.01,blouse
food,food.n.01,television
food,food.n.01,jug
food,food.n.01,doll
food,food.n.01,tambourine
food,food.n.01,mirror
food,food.n.01,cord
food,food.n.01,boa
food,food.n.01,skirt
food,food.n.01,mitten
food,food.n.01,rattle
food,food.n.01,sheep
food,food.n.01,ski boots
food,food.n.01,shaving cream
food,food.n.01,ink
food,food.n.01,coil
food,food.n.01,tapestry
food,food.n.01,pin
food,food.n.01,water heater
food,food.n.01,computer
food,food.n.01,shredder
food,food.n.01,centrifuge
food,food.n.01,bus
food,food.n.01,cable
food,food.n.01,bush
food,food.n.01,clarinet
food,food.n.01,weasel
food,food.n.01,birdbath
food,food.n.01,roadsweeper
food,food.n.01,staple
food,food.n.01,leech
food,food.n.01,belt buckle
food,food.n.01,brace
food,food.n.01,hook
food,food.n.01,hook
food,food.n.01,crow
food,food.n.01,chariot
food,food.n.01,gun
food,food.n.01,harp
food,food.n.01,stretcher
food,food.n.01,pinwheel
food,food.n.01,briefcase
food,food.n.01,mascara
food,food.n.01,trident
food,food.n.01,bowl
food,food.n.01,tapestry
food,food.n.01,rocking chair
food,food.n.01,alligator
food,food.n.01,burner
food,food.n.01,water filter
food,food.n.01,grass
food,food.n.01,knob
food,food.n.01,saxophone
food,food.n.01,chair
food,food.n.01,cardinal
food,food.n.01,pitcher
food,food.n.01,bassoon
food,food.n.01,go-kart
food,food.n.01,bowtie
food,food.n.01,abacus
food,food.n.01,marker
food,food.n.01,food processor
food,food.n.01,joystick
food,food.n.01,keg
food,food.n.01,breadbox
food,food.n.01,hourglass
food,food.n.01,maggot
food,food.n.01,brake
food,food.n.01,test tube
food,food.n.01,statue
food,food.n.01,chariot
food,food.n.01,cummerbund
food,food.n.01,bat
food,food.n.01,snail
food,food.n.01,bee
food,food.n.01,footbath
food,food.n.01,sandbag
food,food.n.01,folder
food,food.n.01,bell
food,food.n.01,snail
food,food.n.01,stiletto
food,food.n.01,mongoose
food,food.n.01,spear
food,food.n.01,fishbowl
food,food.n.01,rake
food,food.n.01,hinge
food,food.n.01,calf
food,food.n.01,chessboard
food,food.n.01,skewer
food,food.n.01,kitten
food,food.n.01,rope
food,food.n.01,gazelle
food,food.n.01,dog
food,food.n.01,router
food,food.n.01,seaplane
food,food.n.01,razor blade
food,food.n.01,machine gun
food,food.n.01,stool
food,food.n.01,moose
food,food.n.01,underwear
food,food.n.01,jukebox
food,food.n.01,dishwasher
food,food.n.01,squirt gun
food,food.n.01,hawk
food,food.n.01,mandolin
food,food.n.01,brush
food,food.n.01,pot
food,food.n.01,inkwell
food,food.n.01,crystal ball
food,food.n.01,freezer
food,food.n.01,scoop
food,food.n.01,chopsticks
food,food.n.01,banjo
food,food.n.01,clover
food,food.n.01,microwave
food,food.n.01,dollhouse
food,food.n.01,sweeper
food,food.n.01,jumpsuit
food,food.n.01,kite
food,food.n.01,kaleidoscope
food,food.n.01,horn
food,food.n.01,tube top
food,food.n.01,highlighter
food,food.n.01,duckling
food,food.n.01,coral
food,food.n.01,organ
food,food.n.01,robe
food,food.n.01,belt
food,food.n.01,lightbulb
food,food.n.01,lingerie
food,food.n.01,jacket
food,food.n.01,mole
food,food.n.01,wig
food,food.n.01,rifle
food,food.n.01,costume
food,food.n.01,cuckoo clock
food,food.n.01,rollerblade
food,food.n.01,penlight
food,food.n.01,anteater
food,food.n.01,camcorder
food,food.n.01,lighter
food,food.n.01,chicken wire
food,food.n.01,catapult
food,food.n.01,flamingo
food,food.n.01,glass
food,food.n.01,kangaroo
food,food.n.01,turntable
food,food.n.01,needle
food,food.n.01,bison
food,food.n.01,toaster
food,food.n.01,elephant
food,food.n.01,bull
food,food.n.01,zebra
food,food.n.01,rack
food,food.n.01,trombone
food,food.n.01,dresser
food,food.n.01,incubator
food,food.n.01,nail clippers
food,food.n.01,quill
food,food.n.01,cleaver
food,food.n.01,koala
food,food.n.01,coyote
food,food.n.01,snowshoe
food,food.n.01,drum
food,food.n.01,flask
food,food.n.01,ottoman
food,food.n.01,moth
food,food.n.01,bumper
food,food.n.01,rooster
food,food.n.01,monkey
food,food.n.01,wheelbarrow
food,food.n.01,tumbleweed
food,food.n.01,watch
food,food.n.01,quad
food,food.n.01,whip
food,food.n.01,beaver
food,food.n.01,metal detector
food,food.n.01,measuring cup
food,food.n.01,tweezers
food,food.n.01,ballot box
food,food.n.01,seal
food,food.n.01,dynamite
food,food.n.01,plunger
food,food.n.01,letter opener
food,food.n.01,swab
food,food.n.01,hearing aid
food,food.n.01,christmas tree
food,food.n.01,bolt
food,food.n.01,purse
food,food.n.01,spatula
food,food.n.01,jar
food,food.n.01,stroller
food,food.n.01,drill
food,food.n.01,scarecrow
food,food.n.01,boot
food,food.n.01,dustpan
food,food.n.01,stapler
food,food.n.01,gorilla
food,food.n.01,jump rope
food,food.n.01,ladle
food,food.n.01,flyswatter
food,food.n.01,file
food,food.n.01,sunflower
food,food.n.01,ratchet
food,food.n.01,weed
food,food.n.01,envelope
food,food.n.01,fly
food,food.n.01,corsage
food,food.n.01,limousine
food,food.n.01,book
food,food.n.01,grille
food,food.n.01,pony
food,food.n.01,funnel
food,food.n.01,squirrel
food,food.n.01,bikini
food,food.n.01,hoe
food,food.n.01,poinsettia
food,food.n.01,bulldozer
food,food.n.01,hot-water bottle
food,food.n.01,refrigerator
food,food.n.01,bench
food,food.n.01,tuba
vehicle,vehicle.n.01,taffy
vehicle,vehicle.n.01,mandolin
vehicle,vehicle.n.01,stretcher
vehicle,vehicle.n.01,cream cheese
vehicle,vehicle.n.01,scoop
vehicle,vehicle.n.01,rope
vehicle,vehicle.n.01,spatula
vehicle,vehicle.n.01,duckling
vehicle,vehicle.n.01,car seat
vehicle,vehicle.n.01,string cheese
vehicle,vehicle.n.01,router
vehicle,vehicle.n.01,prune
vehicle,vehicle.n.01,noodle
vehicle,vehicle.n.01,peeler
vehicle,vehicle.n.01,generator
vehicle,vehicle.n.01,margarita
vehicle,vehicle.n.01,honey
vehicle,vehicle.n.01,jelly bean
vehicle,vehicle.n.01,whipped cream
vehicle,vehicle.n.01,dustpan
vehicle,vehicle.n.01,puppy
vehicle,vehicle.n.01,punch
vehicle,vehicle.n.01,cornbread
vehicle,vehicle.n.01,cordon bleu
vehicle,vehicle.n.01,trunk
vehicle,vehicle.n.01,chili
vehicle,vehicle.n.01,bolt
vehicle,vehicle.n.01,rabbit
vehicle,vehicle.n.01,abacus
vehicle,vehicle.n.01,coil
vehicle,vehicle.n.01,bassoon
vehicle,vehicle.n.01,glass
vehicle,vehicle.n.01,guacamole
vehicle,vehicle.n.01,tumbleweed
vehicle,vehicle.n.01,swab
vehicle,vehicle.n.01,hearing aid
vehicle,vehicle.n.01,banana split
vehicle,vehicle.n.01,lemon
vehicle,vehicle.n.01,turkey
vehicle,vehicle.n.01,envelope
vehicle,vehicle.n.01,car door
vehicle,vehicle.n.01,maple syrup
vehicle,vehicle.n.01,dynamite
vehicle,vehicle.n.01,crow
vehicle,vehicle.n.01,latch
vehicle,vehicle.n.01,alligator
vehicle,vehicle.n.01,chain
vehicle,vehicle.n.01,lamb
vehicle,vehicle.n.01,zebra
vehicle,vehicle.n.01,slicer
vehicle,vehicle.n.01,chair
vehicle,vehicle.n.01,bumper
vehicle,vehicle.n.01,broom
vehicle,vehicle.n.01,tube top
vehicle,vehicle.n.01,spear
vehicle,vehicle.n.01,creme brulee
vehicle,vehicle.n.01,tongs
vehicle,vehicle.n.01,highlighter
vehicle,vehicle.n.01,banana
vehicle,vehicle.n.01,lighter
vehicle,vehicle.n.01,apple
vehicle,vehicle.n.01,clover
vehicle,vehicle.n.01,pea
vehicle,vehicle.n.01,hook
vehicle,vehicle.n.01,backscratcher
vehicle,vehicle.n.01,shortbread
vehicle,vehicle.n.01,razor blade
vehicle,vehicle.n.01,whisk
vehicle,vehicle.n.01,tea
vehicle,vehicle.n.01,weasel
mammal,mammal.n.01,staple gun
mammal,mammal.n.01,crayfish
mammal,mammal.n.01,barnacle
mammal,mammal.n.01,tea
mammal,mammal.n.01,mirror
mammal,mammal.n.01,scoop
mammal,mammal.n.01,ant
mammal,mammal.n.01,lobster
mammal,mammal.n.01,taco
mammal,mammal.n.01,celery
mammal,mammal.n.01,lizard
mammal,mammal.n.01,dustpan
mammal,mammal.n.01,cantaloupe
mammal,mammal.n.01,ballot box
mammal,mammal.n.01,shrimp
mammal,mammal.n.01,rope
mammal,mammal.n.01,toast
mammal,mammal.n.01,honey
mammal,mammal.n.01,jacket
mammal,mammal.n.01,bug
mammal,mammal.n.01,bikini
mammal,mammal.n.01,scallion
mammal,mammal.n.01,eel
mammal,mammal.n.01,rack
mammal,mammal.n.01,fork
mammal,mammal.n.01,slug
mammal,mammal.n.01,pineapple
mammal,mammal.n.01,mushroom
mammal,mammal.n.01,fern
mammal,mammal.n.01,rearview mirror
mammal,mammal.n.01,knob
mammal,mammal.n.01,butterfly
mammal,mammal.n.01,glass
mammal,mammal.n.01,balloon
mammal,mammal.n.01,trident
mammal,mammal.n.01,octopus
mammal,mammal.n.01,hook
mammal,mammal.n.01,goldfish
mammal,mammal.n.01,ostrich
mammal,mammal.n.01,tube top
mammal,mammal.n.01,razor
mammal,mammal.n.01,pickle
mammal,mammal.n.01,zucchini
mammal,mammal.n.01,bomb
mammal,mammal.n.01,chair
mammal,mammal.n.01,cockroach
mammal,mammal.n.01,test tube
mammal,mammal.n.01,coral
mammal,mammal.n.01,birthday cake
mammal,mammal.n.01,brace
mammal,mammal.n.01,cocktail
mammal,mammal.n.01,latch
mammal,mammal.n.01,bunkbed
mammal,mammal.n.01,blouse
mammal,mammal.n.01,chickpea
mammal,mammal.n.01,stretcher
mammal,mammal.n.01,keg
mammal,mammal.n.01,clam
mammal,mammal.n.01,margarita
mammal,mammal.n.01,iguana
mammal,mammal.n.01,cane
mammal,mammal.n.01,duckling
