hypernym,anchor,hyponym
decoration,home decor,birdbath
animal,insect,fly
produce,fruit,banana
organism,plant,leek
organism,animal,skunk
utilities,toiletry,razor
substance,food,quesadilla
transportation,vehicle,school bus
vertebrate,mammal,porcupine
substance,food,pear
utilities,toiletry,toothpaste
clothing,outerwear,scarf
instrument,tool,stamp
produce,fruit,melon
clothing,women's clothing,pantsuit
instrument,tool,blowtorch
clothing,outerwear,apron
device,electronic device,radio
substance,food,garlic
instrument,tool,sweeper
produce,fruit,mulberry
equipment,school supply,paperclip
sweet,candy,candy
instrument,weapon,dart
device,electronic device,camcorder
decoration,furniture,footrest
transportation,vehicle,humvee
decoration,home decor,bonsai
organism,plant,fern
artifact,toy,boomerang
instrument,tool,trident
organism,plant,plant
artifact,toy,scooter
substance,food,cream cheese
equipment,school supply,highlighter
storage,container,tank
instrument,tool,sawhorse
substance,food,soy sauce
storage,container,cabinet
decoration,home decor,crystal ball
organism,animal,hedgehog
sweet,candy,licorice
transportation,vehicle,space shuttle
artifact,toy,stilt
organism,animal,stingray
organism,animal,mole
storage,container,wine bottle
storage,container,dresser
storage,container,aquarium
food,seafood,fish
tool,kitchen tool,grater
device,musical instrument,flute
decoration,home decor,cuckoo clock
organism,plant,tumbleweed
covering,clothing,bulletproof vest
food,breakfast,pastry
instrument,tool,air pump
clothing,headwear,bonnet
substance,food,mushroom
instrument,medical equipment,brace
artifact,toy,crayon
clothing,accessory,bow
instrument,tool,chain
instrument,weapon,chainsaw
organism,plant,bamboo
clothing,headwear,headscarf
produce,fruit,mango
food product,condiment,butter
transportation,vehicle,police car
instrument,medical equipment,vial
organism,plant,orchid
produce,vegetable,jalapeno
organism,animal,rhinoceros
animal,livestock,duck
decoration,jewelry,jewelry
substance,food,croissant
food,breakfast,waffle
home appliance,kitchen equipment,coffeemaker
covering,footwear,rollerblade
covering,clothing,shirt
substance,food,bell pepper
decoration,jewelry,pocket watch
vertebrate,mammal,cow
produce,vegetable,chive
instrument,weapon,knife
substance,food,cornbread
storage,container,duffel bag
instrument,tool,tool
instrument,medical equipment,plaster cast
tool,kitchen tool,bottle opener
instrument,tool,vise
clothing,outerwear,cloak
connector,fastener,velcro
vertebrate,mammal,beaver
decoration,furniture,shelf
instrument,tool,curling iron
covering,clothing,headband
vertebrate,mammal,cat
equipment,office supply,pen
food,breakfast,yogurt
tool,kitchen tool,whisk
substance,food,shrimp
instrument,tool,spark plug
organism,animal,koala
organism,animal,maggot
storage,container,dumpster
organism,plant,aloe
organism,plant,clover
instrument,tool,backscratcher
substance,food,eggplant
food,drink,beer
instrument,tool,padlock
organism,plant,basil
storage,container,tupperware
food,breakfast,scrambled egg
instrument,tool,poker
vehicle,water vehicle,sailboat
food,drink,lemonade
storage,container,briefcase
tool,kitchen tool,strainer
transportation,vehicle,taxi
substance,food,spareribs
clothing,accessory,hat
organism,animal,groundhog
component,auto part,handbrake
instrument,medical equipment,first-aid kit
organism,plant,grass
organism,animal,crayfish
device,electronic device,laptop
storage,container,hot-water bottle
decoration,home decor,lampshade
equipment,office supply,notepad
substance,food,clam
component,auto part,sunroof
animal,insect,bee
covering,clothing,moccasin
organism,plant,poinsettia
organism,animal,otter
substance,food,whipped cream
organism,animal,deer
clothing,protective clothing,kneepad
device,musical instrument,tuba
substance,food,onion
produce,fruit,plum
substance,food,cereal
decoration,furniture,throne
device,electronic device,freezer
substance,food,gingerbread man
equipment,school supply,marker
covering,clothing,kimono
food,breakfast,maple syrup
substance,food,sauce
instrument,weapon,boomerang
produce,vegetable,celery
device,musical instrument,ukulele
artifact,toy,gyroscope
decoration,home decor,frame
storage,container,purse
food product,condiment,marmalade
produce,fruit,lime
transportation,vehicle,jeep
substance,food,spam
instrument,tool,funnel
clothing,headwear,headband
storage,container,basket
connector,fastener,clasp
vehicle,water vehicle,jetski
device,electronic device,icemaker
device,electronic device,fan
device,electronic device,mixer
vertebrate,bird,flamingo
instrument,tool,ladder
produce,vegetable,asparagus
instrument,weapon,grenade
instrument,tool,shovel
instrument,tool,wire
transportation,vehicle,cart
activity,game,scrabble
storage,container,measuring cup
vertebrate,bird,duck
decoration,furniture,bed
covering,clothing,glove
food,drink,punch
substance,food,noodle
organism,plant,chive
instrument,tool,bolt
organism,animal,piglet
food,seafood,blowfish
connector,fastener,tape
instrument,tool,faucet
substance,food,gum
vertebrate,mammal,calf
organism,animal,platypus
organism,animal,sloth
covering,clothing,life jacket
home appliance,kitchen equipment,food processor
organism,animal,vulture
substance,food,french fries
decoration,furniture,cabinet
animal,insect,ant
decoration,home decor,wind chimes
vertebrate,mammal,anteater
device,electronic device,record player
organism,animal,tarantula
food,seafood,calamari
storage,container,terrarium
decoration,furniture,dresser
decoration,home decor,vase
vertebrate,mammal,bat
device,electronic device,toaster oven
substance,food,dough
decoration,home decor,abacus
organism,animal,jellyfish
substance,food,wafer
home appliance,kitchen equipment,water filter
organism,animal,puppy
organism,animal,parrot
component,auto part,wheel
substance,food,hamburger
storage,container,drawer
substance,food,salad
substance,food,scallion
substance,food,catfish
food,breakfast,bacon
organism,animal,aardvark
clothing,accessory,bolo tie
device,electronic device,water heater
substance,food,piecrust
instrument,tool,crank
organism,animal,ram
substance,food,roll
organism,animal,bear
decoration,furniture,cot
vertebrate,mammal,hippopotamus
vertebrate,mammal,poodle
instrument,tool,ladle
produce,vegetable,chickpea
decoration,home decor,birdcage
decoration,home decor,christmas tree
storage,container,shaker
storage,container,sarcophagus
covering,footwear,boot
organism,animal,donkey
home appliance,kitchen equipment,juicer
substance,food,cotton candy
sweet,candy,peppermint
equipment,office supply,folder
device,electronic device,slot machine
component,auto part,hubcap
organism,animal,gazelle
decoration,jewelry,crown
covering,clothing,spacesuit
organism,animal,dolphin
instrument,tool,cleaver
animal,sea animal,octopus
substance,food,wedding cake
food,breakfast,toast
vertebrate,mammal,zebra
food product,condiment,ginger
food,dessert,souffle
decoration,home decor,doily
organism,animal,lizard
produce,vegetable,broccoli
device,electronic device,pinball
connector,fastener,barrette
vertebrate,mammal,rat
covering,footwear,shoe
produce,fruit,star fruit
tool,garden tool,shovel
device,electronic device,washing machine
animal,insect,earwig
instrument,weapon,dynamite
organism,plant,asparagus
artifact,toy,lego
substance,food,parsley
equipment,office supply,notebook
sweet,candy,lollipop
storage,container,goblet
substance,food,brownie
instrument,tool,doorknocker
storage,container,pitcher
connector,fastener,gasket
instrument,tool,blowtorch
produce,fruit,blackberry
device,electronic device,tape recorder
organism,animal,chihuahua
storage,container,locker
instrument,tool,file
transportation,vehicle,rocket
decoration,home decor,globe
vertebrate,mammal,badger
food,drink,hot chocolate
transportation,vehicle,bulldozer
equipment,office supply,fountain pen
sweet,candy,candy cane
organism,animal,lamb
food,dessert,parfait
home appliance,kitchen equipment,burner
food,breakfast,oatmeal
substance,food,coconut
food,seafood,swordfish
substance,food,mustard
storage,container,suitcase
organism,animal,reindeer
clothing,accessory,mitten
instrument,tool,watering can
animal,sea animal,turtle
organism,plant,apple tree
organism,plant,mint
animal,livestock,cow
food,dessert,sorbet
equipment,school supply,crayon
decoration,jewelry,locket
clothing,accessory,watch
decoration,furniture,rack
substance,food,almond
organism,animal,duckling
substance,food,cabbage
tool,kitchen tool,tongs
substance,food,popsicle
organism,animal,crab
activity,game,chessboard
connector,fastener,lock
substance,food,egg
animal,sea animal,eel
home appliance,kitchen equipment,hotplate
organism,animal,cockroach
utilities,toiletry,nail clippers
vertebrate,mammal,bison
instrument,tool,doorhandle
device,electronic device,incubator
tool,garden tool,hose
storage,container,urn
decoration,home decor,wreath
instrument,tool,mallet
instrument,tool,switch
instrument,weapon,revolver
activity,game,pinball
decoration,home decor,curtain
clothing,accessory,bonnet
food,dessert,ice-cream cone
substance,food,jalapeno
instrument,tool,tape measure
tool,kitchen tool,measuring cup
transportation,vehicle,camper
organism,plant,tree
substance,food,scrambled egg
vertebrate,mammal,weasel
organism,animal,warthog
storage,container,bin
device,electronic device,music box
instrument,tool,peeler
tool,kitchen tool,grinder
equipment,office supply,scissors
device,electronic device,chainsaw
organism,animal,squirrel
storage,container,shopping basket
covering,clothing,shawl
component,auto part,headlight
instrument,tool,tool
transportation,vehicle,airboat
decoration,furniture,step stool
instrument,tool,vise
clothing,accessory,glasses
substance,food,cupcake
organism,plant,broccoli
substance,food,goose
instrument,tool,knob
substance,food,cantaloupe
clothing,women's clothing,tiara
food,dessert,pastry
produce,vegetable,squash
organism,animal,grasshopper
produce,fruit,pomegranate
organism,animal,raccoon
decoration,home decor,candle
component,auto part,car door
tool,garden tool,lawnmower
equipment,office supply,eraser
instrument,tool,razor
vertebrate,mammal,mongoose
storage,container,water bottle
organism,animal,horse
food,breakfast,peanut butter
storage,container,cup
produce,vegetable,sprouts
utilities,toiletry,hairbrush
instrument,tool,punch
organism,animal,wasp
storage,container,barrel
covering,clothing,sandal
instrument,tool,polisher
organism,animal,fish
equipment,office supply,binder
covering,clothing,slipper
instrument,tool,eggbeater
instrument,weapon,crowbar
animal,sea animal,stingray
clothing,women's clothing,kimono
substance,food,grapefruit
organism,animal,barnacle
clothing,protective clothing,apron
instrument,tool,icepick
clothing,protective clothing,helmet
vehicle,water vehicle,torpedo
device,electronic device,microphone
equipment,school supply,glue
device,electronic device,dryer
substance,food,mashed potato
storage,container,lunchbox
instrument,tool,chisel
substance,food,lasagna
organism,plant,rose
substance,food,fruit
utilities,toiletry,clipper
organism,animal,flamingo
food,seafood,squid
device,electronic device,cooker
produce,vegetable,potato
food,breakfast,scone
covering,clothing,bracelet
artifact,toy,balloon
substance,food,baklava
transportation,vehicle,hearse
instrument,tool,marker
storage,container,jar
instrument,tool,hinge
substance,food,pineapple
activity,game,yo-yo
vertebrate,bird,cardinal
instrument,tool,soldering iron
substance,food,eclair
device,electronic device,jukebox
storage,container,kettle
organism,animal,chipmunk
food,dessert,muffin
organism,animal,gorilla
instrument,tool,valve
organism,animal,duck
covering,clothing,pantsuit
food product,condiment,jam
substance,food,breadstick
storage,container,fishbowl
substance,food,biscuit
instrument,tool,button
substance,food,celery
transportation,vehicle,chariot
substance,food,spring roll
organism,plant,hedge
organism,animal,lion
vertebrate,bird,puffin
instrument,tool,ladder
instrument,tool,pencil
organism,animal,worm
equipment,office supply,envelope
device,electronic device,juicer
organism,plant,bush
storage,container,chest
organism,plant,ivy
storage,container,vial
organism,animal,kangaroo
decoration,furniture,coat rack
artifact,toy,robot
substance,food,bacon
device,electronic device,printer
food,seafood,crayfish
organism,animal,guinea pig
food,breakfast,cream cheese
instrument,tool,chainsaw
food,seafood,oyster
clothing,accessory,brooch
clothing,outerwear,coverall
produce,fruit,raspberry
transportation,vehicle,airplane
clothing,protective clothing,glove
instrument,tool,lightbulb
instrument,tool,corkscrew
device,electronic device,blender
vertebrate,mammal,polar bear
device,musical instrument,drum
organism,animal,bull
storage,container,crate
substance,food,casserole
instrument,tool,hoe
vehicle,water vehicle,speedboat
substance,food,ready meal
device,musical instrument,piano
device,electronic device,refrigerator
organism,animal,hummingbird
device,electronic device,electric chair
covering,clothing,clothes
instrument,weapon,pocketknife
clothing,outerwear,jacket
food,seafood,lobster
substance,food,lettuce
organism,animal,cobra
storage,container,mailbox
instrument,tool,knife
produce,vegetable,cauliflower
device,electronic device,shredder
food,seafood,scallop
transportation,vehicle,train
clothing,headwear,hat
instrument,tool,crank
covering,clothing,eye patch
organism,animal,pigeon
vertebrate,bird,pelican
vertebrate,mammal,monkey
instrument,weapon,pitchfork
organism,animal,pig
decoration,furniture,table
vehicle,water vehicle,gondola
food,dessert,crepe
organism,plant,flower
decoration,furniture,chair
instrument,tool,spatula
produce,vegetable,brussels sprouts
substance,food,spinach
transportation,vehicle,subway
storage,container,birdcage
storage,container,paper bag
utilities,toiletry,toothbrush
substance,food,hummus
equipment,office supply,paperclip
decoration,home decor,figurine
organism,plant,weed
equipment,school supply,paper
substance,food,snack
instrument,weapon,baseball bat
substance,food,calzone
vertebrate,mammal,ferret
food,seafood,jellyfish
storage,container,nightstand
covering,clothing,bolo tie
transportation,vehicle,wheelchair
organism,animal,blowfish
food,drink,margarita
substance,food,oatmeal
equipment,office supply,highlighter
substance,food,patty
produce,vegetable,okra
instrument,tool,paintbrush
instrument,tool,plunger
component,auto part,rearview mirror
clothing,accessory,glove
produce,vegetable,corn
organism,animal,hyena
organism,animal,seal
device,electronic device,sewing machine
tool,garden tool,chainsaw
produce,fruit,fig
food,dessert,cookie
food,dessert,dessert
food product,condiment,ketchup
animal,sea animal,jellyfish
substance,food,meat
vertebrate,bird,cockatoo
clothing,accessory,top hat
vertebrate,mammal,gopher
organism,animal,dog
clothing,outerwear,cape
clothing,accessory,belt
instrument,tool,file
component,auto part,taillight
animal,livestock,bison
produce,fruit,orange
instrument,tool,shovel
instrument,weapon,blowgun
device,electronic device,remote control
substance,food,calamari
instrument,tool,pencil sharpener
organism,animal,possum
device,musical instrument,accordion
artifact,toy,beachball
animal,livestock,rooster
vertebrate,mammal,goat
clothing,women's clothing,skirt
substance,food,gumball
equipment,office supply,thumbtack
substance,food,avocado
substance,food,clove
food,breakfast,cereal
substance,food,seaweed
substance,food,taffy
animal,livestock,turkey
substance,food,stew
organism,animal,frog
transportation,vehicle,raft
decoration,furniture,filing cabinet
transportation,vehicle,stroller
substance,food,octopus
organism,plant,palm tree
tool,kitchen tool,kettle
artifact,toy,music box
substance,food,apple
tool,kitchen tool,pepper mill
organism,animal,ladybug
transportation,vehicle,kayak
covering,clothing,fur coat
substance,food,kebab
storage,container,honeypot
substance,food,tamale
covering,footwear,rollerskate
substance,food,sauerkraut
vertebrate,mammal,sheep
organism,animal,beetle
organism,animal,goldfish
vertebrate,bird,seagull
instrument,tool,coil
decoration,furniture,chest
substance,food,sundae
transportation,vehicle,sailboat
substance,food,enchilada
activity,game,checkers
instrument,weapon,cannon
instrument,tool,mallet
instrument,tool,quill
vertebrate,mammal,giraffe
covering,footwear,sock
covering,clothing,mitten
home appliance,kitchen equipment,microwave
component,auto part,pedal
organism,animal,llama
storage,container,mold
device,electronic device,polygraph
produce,vegetable,beet
produce,fruit,raisin
substance,food,string cheese
vehicle,water vehicle,submarine
artifact,toy,ball
covering,clothing,stockings
tool,kitchen tool,timer
instrument,tool,clasp
substance,food,butter
instrument,weapon,flamethrower
covering,footwear,moccasin
decoration,furniture,air mattress
food,breakfast,french fries
substance,food,kiwi
storage,container,watering can
device,electronic device,jackhammer
instrument,weapon,cannonball
transportation,vehicle,ambulance
connector,fastener,button
instrument,tool,hose
device,musical instrument,trumpet
substance,food,breakfast
substance,food,batter
instrument,medical equipment,penlight
clothing,outerwear,raincoat
substance,food,pudding
storage,container,sandbag
organism,animal,swordfish
decoration,home decor,scarecrow
tool,kitchen tool,nutcracker
animal,livestock,rabbit
connector,fastener,hairpin
instrument,tool,sickle
device,electronic device,modem
substance,food,curry
substance,food,grain
organism,plant,corn
substance,food,pistachio
instrument,tool,pliers
food,breakfast,donut
organism,plant,poppy
clothing,accessory,insole
food,seafood,sardine
food,breakfast,roll
organism,animal,cheetah
instrument,medical equipment,bedpan
home appliance,kitchen equipment,toaster oven
organism,animal,pug
animal,livestock,goose
substance,food,eel
covering,clothing,costume
instrument,tool,gear
component,auto part,engine
vertebrate,mammal,coyote
equipment,school supply,book
artifact,toy,toy
animal,sea animal,crab
organism,animal,toad
equipment,school supply,ink
animal,insect,caterpillar
food product,condiment,gravy
organism,animal,coral
instrument,tool,chisel
substance,food,quiche
instrument,weapon,axe
substance,food,grits
food,drink,cocktail
artifact,toy,pogo stick
substance,food,shortbread
instrument,weapon,brass knuckles
decoration,furniture,nightstand
connector,fastener,screw
instrument,medical equipment,eye patch
substance,food,pizza
vertebrate,mammal,cougar
connector,fastener,rubber band
vertebrate,bird,rooster
transportation,vehicle,sled
instrument,tool,bracket
clothing,outerwear,jumpsuit
instrument,tool,soldering iron
decoration,jewelry,watch
tool,kitchen tool,rolling pin
vertebrate,bird,turkey
food,dessert,banana split
vertebrate,bird,peacock
food,dessert,flan
utilities,toiletry,perfume
component,auto part,speedometer
instrument,tool,key
vertebrate,mammal,boar
storage,container,breadbox
instrument,tool,penlight
transportation,vehicle,cruise ship
storage,container,ballot box
produce,fruit,watermelon
produce,fruit,cranberry
device,musical instrument,kazoo
instrument,medical equipment,pillbox
sweet,candy,cotton candy
storage,container,box
covering,clothing,chaps
vehicle,water vehicle,yacht
clothing,accessory,shawl
clothing,protective clothing,wetsuit
connector,fastener,safety pin
clothing,outerwear,lab coat
instrument,tool,strainer
transportation,vehicle,dirt bike
instrument,tool,drill
storage,container,hot tub
component,auto part,windshield
substance,food,artichoke
instrument,tool,duster
covering,clothing,headdress
device,electronic device,computer
substance,food,marmalade
storage,container,petri dish
tool,kitchen tool,can opener
component,auto part,brake
animal,livestock,chicken
device,electronic device,joystick
device,electronic device,projector
instrument,tool,jackhammer
instrument,tool,ruler
vertebrate,mammal,camel
produce,vegetable,radish
animal,sea animal,fish
substance,food,pecan
substance,food,granola
substance,food,cilantro
tool,garden tool,sickle
produce,fruit,grape
produce,vegetable,rhubarb
component,auto part,spark plug
organism,animal,moose
food,dessert,tiramisu
tool,garden tool,hatchet
clothing,outerwear,coat
organism,plant,cactus
animal,sea animal,barnacle
instrument,tool,corkscrew
substance,food,coleslaw
substance,food,walnut
produce,fruit,blueberry
organism,animal,squid
food,seafood,seafood
decoration,furniture,bassinet
vertebrate,mammal,skunk
organism,animal,tadpole
covering,clothing,sweatsuit
food,breakfast,egg
covering,footwear,ski boots
organism,animal,panther
instrument,weapon,arrow
vehicle,water vehicle,raft
instrument,weapon,crossbow
produce,fruit,strawberry
covering,clothing,scarf
clothing,accessory,bracelet
device,electronic device,dishwasher
transportation,vehicle,motorcycle
substance,food,jelly bean
vehicle,water vehicle,kayak
storage,container,pan
covering,clothing,apron
instrument,weapon,rifle
covering,clothing,veil
organism,plant,lavender
transportation,vehicle,golf cart
artifact,toy,puppet
produce,vegetable,vegetable
instrument,tool,rope
transportation,vehicle,quad
substance,food,pie
instrument,tool,clipper
vertebrate,bird,goose
storage,container,hatbox
clothing,protective clothing,armor
instrument,tool,lock
substance,food,nut
covering,clothing,tiara
substance,food,peach
clothing,protective clothing,football helmet
clothing,headwear,headdress
utilities,toiletry,floss
vertebrate,mammal,hedgehog
covering,clothing,sweater
vertebrate,mammal,mole
instrument,tool,shears
produce,vegetable,bok choy
storage,container,matchbox
artifact,toy,rattle
transportation,vehicle,station wagon
organism,animal,oyster
organism,animal,cockatoo
substance,food,ham
clothing,outerwear,snowsuit
clothing,accessory,button
substance,food,pea
equipment,office supply,staple
organism,animal,mussel
instrument,tool,plunger
substance,food,cherry
instrument,tool,axe
produce,vegetable,green beans
vertebrate,mammal,rhinoceros
instrument,weapon,bomb
food product,condiment,soy sauce
substance,food,wheat
device,electronic device,microwave
produce,fruit,tomato
substance,food,salami
equipment,school supply,inkwell
clothing,accessory,earring
substance,food,ginger
artifact,toy,marble
organism,animal,lobster
produce,fruit,berry
organism,animal,scallop
equipment,school supply,pencil
food,breakfast,hash
instrument,tool,wedge
equipment,school supply,whiteboard
organism,animal,kitten
utilities,toiletry,eyeliner
covering,clothing,stiletto
storage,container,container
clothing,headwear,helmet
clothing,headwear,veil
substance,food,leek
tool,kitchen tool,spoon
animal,insect,cockroach
instrument,medical equipment,stretcher
device,electronic device,mouse
covering,clothing,outfit
storage,container,jug
decoration,jewelry,brooch
component,auto part,gearshift
instrument,tool,chainsaw
covering,clothing,cloak
clothing,headwear,tiara
device,electronic device,router
vertebrate,mammal,koala
utilities,toiletry,lip gloss
substance,food,zucchini
substance,food,gyro
organism,plant,pine tree
clothing,accessory,eye patch
organism,animal,tick
storage,container,dustpan
component,auto part,rim
transportation,vehicle,jet
artifact,toy,whoopee cushion
decoration,jewelry,tiara
instrument,weapon,catapult
covering,clothing,top hat
clothing,women's clothing,stockings
covering,clothing,belt
covering,clothing,toga
storage,container,doghouse
device,musical instrument,chime
home appliance,kitchen equipment,cooker
equipment,school supply,stapler
tool,garden tool,clipper
covering,clothing,jeans
covering,footwear,sandal
vertebrate,mammal,groundhog
animal,sea animal,blowfish
decoration,home decor,centerpiece
vehicle,water vehicle,cruise ship
clothing,accessory,corsage
animal,insect,grasshopper
decoration,furniture,bookshelf
transportation,vehicle,aircraft carrier
substance,food,donut
tool,garden tool,saw
device,electronic device,drill
instrument,tool,magnifier
vertebrate,mammal,otter
produce,fruit,prune
vertebrate,bird,penguin
instrument,tool,pocketknife
vertebrate,mammal,deer
covering,clothing,tuxedo
animal,insect,wasp
substance,food,caviar
animal,sea animal,seal
substance,food,parfait
storage,container,luggage
equipment,office supply,glue
organism,plant,bok choy
organism,animal,starfish
organism,animal,moth
clothing,accessory,sombrero
covering,footwear,snowshoe
tool,garden tool,scissors
food,drink,smoothie
instrument,tool,hose
substance,food,meatball
storage,container,wineglass
organism,plant,dandelion
instrument,medical equipment,crutch
instrument,weapon,bat
clothing,women's clothing,blouse
device,electronic device,turntable
substance,food,sorbet
instrument,tool,grater
instrument,tool,pitchfork
produce,vegetable,carrot
utilities,toiletry,lip balm
produce,vegetable,cucumber
covering,clothing,visor
produce,fruit,papaya
vertebrate,bird,crow
covering,clothing,pantyhose
storage,container,ashtray
organism,animal,yak
covering,clothing,boa
substance,food,bagel
substance,food,chocolate
instrument,tool,pliers
organism,animal,bug
storage,container,teapot
clothing,headwear,top hat
equipment,school supply,backpack
organism,animal,lightning bug
home appliance,kitchen equipment,blender
organism,animal,chinchilla
home appliance,kitchen equipment,refrigerator
device,musical instrument,harmonica
food,drink,milk
vertebrate,mammal,piglet
storage,container,birdbath
home appliance,kitchen equipment,waffle iron
produce,vegetable,tomato
clothing,headwear,wig
vertebrate,mammal,platypus
equipment,school supply,pen
vertebrate,mammal,sloth
organism,animal,turkey
organism,animal,peacock
device,electronic device,air conditioner
substance,food,cheesecake
produce,fruit,pear
decoration,furniture,beanbag
utilities,toiletry,toilet paper
substance,food,cornmeal
device,musical instrument,xylophone
instrument,tool,bottle opener
substance,food,bean
substance,food,cake
equipment,school supply,pencil sharpener
decoration,furniture,loveseat
transportation,vehicle,speedboat
vertebrate,mammal,puppy
tool,kitchen tool,scoop
food,drink,champagne
transportation,vehicle,tractor
covering,clothing,bikini
transportation,vehicle,limousine
organism,animal,bee
produce,vegetable,pumpkin
organism,animal,panda
organism,animal,mongoose
vertebrate,mammal,aardvark
substance,food,gumdrop
storage,container,saltshaker
organism,animal,walrus
vertebrate,bird,owl
vertebrate,mammal,ram
utilities,toiletry,toothpick
transportation,vehicle,forklift
food product,condiment,syrup
vertebrate,mammal,bear
activity,game,slot machine
device,electronic device,iron
device,electronic device,copier
instrument,weapon,bullet
tool,garden tool,pickax
covering,clothing,turtleneck
produce,vegetable,sweet potato
produce,vegetable,arugula
decoration,home decor,mirror
substance,food,lamb
vertebrate,mammal,donkey
transportation,vehicle,car
substance,food,sushi
organism,animal,tiger
instrument,tool,drill
food product,condiment,applesauce
covering,clothing,skirt
device,electronic device,lamp
animal,sea animal,swordfish
transportation,vehicle,gondola
substance,food,wrap
vertebrate,mammal,gazelle
substance,food,jam
organism,plant,lettuce
organism,animal,sardine
vertebrate,mammal,dolphin
