hypernym,anchor,hyponym
instrument,tool,letter opener
produce,vegetable,kale
food,dessert,wedding cake
tool,garden tool,pitchfork
vertebrate,bird,chick
organism,animal,leopard
substance,food,crab
organism,animal,rabbit
substance,food,creme brulee
clothing,women's clothing,veil
produce,vegetable,pepper
covering,clothing,bathrobe
instrument,tool,doorknob
equipment,office supply,paper
substance,food,chive
animal,sea animal,coral
food,dessert,brownie
substance,food,cinnamon
decoration,furniture,sofa bed
substance,food,lemon
transportation,vehicle,minivan
vertebrate,bird,bird
substance,food,stuffing
substance,food,pancake
device,electronic device,cd player
covering,clothing,blazer
covering,clothing,suit
covering,clothing,straightjacket
device,electronic device,cash machine
vertebrate,mammal,chihuahua
connector,fastener,buckle
sweet,candy,gumball
vehicle,water vehicle,canoe
storage,container,bedpan
vertebrate,mammal,lamb
animal,insect,butterfly
covering,clothing,pajamas
food,seafood,sea urchin
organism,animal,dragonfly
organism,animal,orangutan
vertebrate,mammal,reindeer
device,musical instrument,bell
substance,food,stir fry
substance,food,tomato sauce
organism,animal,antelope
vehicle,water vehicle,aircraft carrier
substance,food,hash
decoration,home decor,chandelier
decoration,home decor,rug
instrument,weapon,scissors
food,breakfast,breakfast
substance,food,banana
instrument,tool,shears
connector,fastener,combination lock
substance,food,taco
substance,food,pickle
organism,animal,praying mantis
food,dessert,popsicle
substance,food,fish
substance,food,melon
activity,game,playing card
organism,animal,hamster
clothing,women's clothing,stiletto
produce,vegetable,garlic
clothing,accessory,headdress
vertebrate,bird,eagle
substance,food,mulberry
food,seafood,shrimp
food product,condiment,pesto
animal,livestock,calf
instrument,tool,axe
substance,food,meatloaf
clothing,headwear,hairnet
substance,food,appetizer
storage,container,filing cabinet
organism,plant,seaweed
covering,clothing,wetsuit
organism,plant,arugula
device,musical instrument,bongo
organism,animal,chicken
storage,container,pillbox
instrument,medical equipment,syringe
organism,animal,mouse
decoration,furniture,closet
clothing,women's clothing,bra
substance,food,cheese
decoration,home decor,candlestick
transportation,vehicle,helicopter
animal,sea animal,squid
instrument,weapon,scalpel
organism,animal,alpaca
vertebrate,mammal,warthog
animal,insect,ladybug
vertebrate,bird,toucan
instrument,tool,wedge
transportation,vehicle,submarine
organism,plant,kale
vertebrate,mammal,squirrel
organism,animal,meerkat
substance,food,asparagus
instrument,tool,fork
animal,insect,beetle
food,breakfast,grits
component,auto part,odometer
vertebrate,bird,swan
substance,food,sugar cube
organism,animal,wolf
activity,game,backgammon
substance,food,birthday cake
component,auto part,car seat
transportation,vehicle,scooter
instrument,tool,jackhammer
substance,food,ketchup
organism,animal,ferret
substance,food,mango
vertebrate,mammal,raccoon
clothing,accessory,scarf
transportation,vehicle,tricycle
equipment,school supply,ruler
vertebrate,bird,ostrich
vertebrate,mammal,horse
food,seafood,mussel
clothing,outerwear,overalls
decoration,home decor,tapestry
artifact,toy,doll
instrument,tool,hook
substance,food,tostada
decoration,home decor,lamp
food,drink,espresso
substance,food,fruitcake
food,drink,eggnog
transportation,vehicle,go-kart
equipment,school supply,fountain pen
organism,animal,rattlesnake
device,electronic device,vending machine
utilities,toiletry,shaving cream
produce,vegetable,bell pepper
substance,food,mousse
food,drink,drink
food,seafood,snail
storage,container,vase
transportation,vehicle,unicycle
device,electronic device,waffle iron
instrument,weapon,pickax
substance,food,mint
instrument,tool,screw
decoration,home decor,pinecone
decoration,jewelry,bracelet
animal,sea animal,oyster
instrument,medical equipment,sling
decoration,furniture,lectern
device,electronic device,vacuum
home appliance,kitchen equipment,oven
food,breakfast,marmalade
organism,animal,dalmatian
animal,sea animal,mussel
equipment,office supply,tape
tool,garden tool,shears
food,seafood,shark
component,auto part,license plate
food product,condiment,maple syrup
clothing,women's clothing,pantyhose
covering,clothing,armor
storage,container,coop
clothing,women's clothing,boa
food,dessert,baklava
vertebrate,bird,hawk
decoration,home decor,potpourri
food,breakfast,granola
substance,food,coffee bean
covering,clothing,muff
instrument,medical equipment,gauze
substance,food,goat
substance,food,marshmallow
instrument,tool,clipper
storage,container,tent
animal,livestock,piglet
decoration,home decor,pinwheel
food,dessert,eclair
covering,clothing,flip-flop
substance,food,chickpea
animal,sea animal,lobster
tool,garden tool,axe
substance,food,candy cane
vertebrate,mammal,chipmunk
organism,animal,fox
vertebrate,mammal,gorilla
produce,vegetable,eggplant
animal,sea animal,scallop
artifact,toy,dreidel
substance,food,buffet
organism,animal,pony
instrument,tool,saw
substance,food,cracker
instrument,tool,crowbar
instrument,tool,tongs
instrument,tool,chopsticks
vertebrate,mammal,lion
device,musical instrument,guitar
vehicle,water vehicle,seaplane
substance,food,pig
decoration,furniture,bench
covering,clothing,vest
transportation,vehicle,yacht
substance,food,cucumber
activity,game,jigsaw puzzle
transportation,vehicle,snowmobile
vertebrate,mammal,kangaroo
transportation,vehicle,hot-air balloon
covering,clothing,swimsuit
covering,clothing,t-shirt
organism,animal,manatee
clothing,protective clothing,visor
covering,clothing,turban
device,electronic device,metal detector
decoration,jewelry,hairpin
clothing,accessory,lanyard
substance,food,broccoli
vertebrate,mammal,guinea pig
decoration,jewelry,earring
food,breakfast,bread
clothing,women's clothing,bikini
covering,clothing,sombrero
substance,food,plum
instrument,weapon,whip
artifact,toy,teddy bear
substance,food,caramel
produce,vegetable,onion
animal,livestock,ram
instrument,tool,pen
equipment,school supply,chalk
instrument,tool,handle
decoration,furniture,workbench
artifact,toy,kite
vertebrate,bird,pheasant
covering,clothing,pants
animal,livestock,donkey
instrument,tool,grinder
substance,food,omelet
organism,animal,whale
organism,animal,owl
food,drink,juice
home appliance,kitchen equipment,dishwasher
covering,clothing,coverall
substance,food,lime
food,dessert,ice cream
clothing,headwear,football helmet
covering,clothing,tube top
vertebrate,mammal,bull
covering,clothing,shorts
substance,food,bun
food,breakfast,ham
transportation,vehicle,carriage
sweet,candy,jelly bean
storage,container,glass
instrument,tool,cable
decoration,furniture,ottoman
produce,fruit,coconut
storage,container,oilcan
storage,container,thermos
food,drink,wine
substance,food,yolk
covering,clothing,jacket
decoration,home decor,cornucopia
instrument,tool,nail
organism,animal,elephant
instrument,medical equipment,stethoscope
decoration,home decor,place mat
artifact,toy,rocking horse
vehicle,water vehicle,hovercraft
animal,sea animal,starfish
instrument,tool,wire cutters
activity,game,shuffleboard
substance,food,popcorn
instrument,tool,vacuum
vertebrate,mammal,pig
decoration,jewelry,ring
animal,sea animal,dolphin
substance,food,candy bar
instrument,weapon,torpedo
organism,animal,porcupine
artifact,toy,pinwheel
clothing,headwear,turban
organism,animal,alligator
substance,food,fast food
clothing,accessory,visor
substance,food,macadamia
storage,container,footbath
clothing,headwear,sombrero
instrument,weapon,razor blade
organism,animal,bird
clothing,accessory,boa
equipment,office supply,punch
organism,animal,seahorse
clothing,accessory,purse
device,musical instrument,bagpipe
instrument,tool,pickax
produce,vegetable,scallion
storage,container,keg
instrument,tool,gavel
substance,food,crouton
organism,animal,scorpion
substance,food,pita
substance,food,pepperoni
utilities,toiletry,lipstick
vertebrate,mammal,hyena
vertebrate,mammal,seal
artifact,toy,kaleidoscope
tool,kitchen tool,funnel
food,drink,milkshake
instrument,tool,metal detector
device,musical instrument,trombone
organism,animal,turtle
transportation,vehicle,buggy
storage,container,pot
organism,animal,iguana
storage,container,water heater
instrument,tool,charger
substance,food,egg roll
produce,fruit,cantaloupe
vertebrate,mammal,dog
substance,food,squash
organism,plant,grapevine
instrument,weapon,tank
vertebrate,bird,parrot
utilities,toiletry,hairdryer
food,dessert,cake mix
instrument,tool,rake
instrument,medical equipment,cane
instrument,tool,needle
covering,clothing,cape
covering,clothing,undershirt
vertebrate,mammal,possum
sweet,candy,gum
substance,food,sprouts
organism,animal,eagle
storage,container,trunk
animal,sea animal,walrus
substance,food,dip
covering,clothing,blouse
organism,animal,cardinal
substance,food,swordfish
substance,food,star fruit
clothing,protective clothing,face mask
connector,fastener,hook
instrument,medical equipment,eyedropper
transportation,vehicle,steamroller
equipment,office supply,pencil
produce,fruit,grapefruit
equipment,school supply,chalkboard
organism,animal,cow
instrument,tool,screwdriver
instrument,tool,light switch
produce,vegetable,parsley
covering,clothing,headscarf
organism,animal,mosquito
storage,container,beaker
organism,animal,puffin
storage,container,bank
organism,animal,leech
animal,sea animal,sardine
organism,animal,toucan
organism,animal,beaver
substance,food,blackberry
produce,fruit,fruit
organism,animal,cat
food,breakfast,bagel
food,dessert,sundae
substance,food,potato
vehicle,water vehicle,ferry
storage,container,bag
utilities,toiletry,shower cap
transportation,vehicle,trolley
organism,animal,swan
covering,clothing,boxer shorts
covering,clothing,leggings
animal,livestock,horse
instrument,tool,lighter
instrument,tool,nail clippers
substance,food,steak
covering,clothing,hoodie
produce,fruit,pineapple
vertebrate,mammal,llama
transportation,vehicle,tugboat
equipment,office supply,stapler
device,musical instrument,triangle
organism,animal,ostrich
tool,kitchen tool,ladle
decoration,home decor,weather vane
connector,fastener,knot
component,auto part,gasket
produce,vegetable,cabbage
decoration,furniture,bunkbed
food product,condiment,peanut butter
clothing,women's clothing,fishnet stockings
food,dessert,pudding
tool,kitchen tool,cleaver
sweet,candy,chocolate
organism,animal,sea urchin
device,electronic device,amplifier
substance,food,pretzel
instrument,tool,sledgehammer
covering,clothing,jersey
covering,clothing,raincoat
device,musical instrument,recorder
device,electronic device,television
covering,clothing,bowtie
activity,game,dice
transportation,vehicle,ship
storage,container,cage
organism,plant,moss
organism,animal,pelican
utilities,toiletry,tweezers
organism,animal,hawk
storage,container,trashcan
instrument,tool,fountain pen
vertebrate,mammal,cheetah
decoration,furniture,couch
storage,container,inkwell
vertebrate,mammal,pug
animal,insect,moth
instrument,weapon,landmine
organism,animal,shrimp
organism,animal,slug
vertebrate,bird,duckling
instrument,weapon,machine gun
food,breakfast,jam
food,drink,coffee
substance,food,fondue
transportation,vehicle,van
tool,kitchen tool,skewer
substance,food,cauliflower
artifact,toy,skateboard
food,dessert,shortbread
substance,food,cheeseburger
substance,food,easter egg
clothing,outerwear,glove
utilities,toiletry,diaper
substance,food,pomegranate
decoration,furniture,stool
substance,food,squid
substance,food,bread
device,musical instrument,keyboard
animal,insect,bug
instrument,tool,trowel
instrument,medical equipment,scalpel
animal,insect,lightning bug
connector,fastener,nail
sweet,candy,gumdrop
organism,plant,parsley
activity,game,ticktacktoe
instrument,tool,tank
organism,animal,calf
organism,plant,marijuana
instrument,tool,scraper
connector,fastener,cufflink
covering,clothing,jumpsuit
organism,animal,anteater
organism,animal,clam
home appliance,kitchen equipment,slicer
equipment,office supply,file
food,breakfast,muffin
substance,food,brussels sprouts
instrument,tool,saw
instrument,tool,crowbar
instrument,tool,staple gun
substance,food,rice
animal,livestock,bull
equipment,office supply,pencil sharpener
produce,vegetable,gourd
organism,animal,bat
organism,animal,pheasant
component,auto part,bumper
activity,game,computer
food,breakfast,pancake
animal,livestock,goat
instrument,weapon,bazooka
substance,food,burrito
clothing,women's clothing,tube top
covering,clothing,sock
food product,condiment,cream cheese
instrument,tool,scissors
device,electronic device,centrifuge
transportation,vehicle,boat
covering,clothing,lab coat
substance,food,okra
substance,food,crayfish
decoration,jewelry,barrette
storage,container,syringe
substance,food,saffron
organism,animal,snail
storage,container,wallet
organism,animal,hippopotamus
storage,container,swimming pool
organism,animal,poodle
substance,food,corn
substance,food,oyster
animal,livestock,pig
animal,livestock,sheep
organism,plant,cabbage
vertebrate,mammal,moose
substance,food,mussel
substance,food,poppy
food,drink,latte
organism,animal,fly
tool,kitchen tool,peeler
storage,container,cooker
organism,animal,shark
home appliance,kitchen equipment,stove
decoration,home decor,candelabra
covering,clothing,coat
instrument,tool,scalpel
organism,animal,seagull
device,electronic device,computer screen
instrument,tool,nutcracker
vertebrate,mammal,panther
transportation,vehicle,firetruck
instrument,tool,tweezers
device,musical instrument,gong
clothing,protective clothing,coverall
organism,animal,caterpillar
covering,footwear,iceskate
covering,clothing,bra
substance,food,lobster
organism,plant,daisy
clothing,protective clothing,overalls
organism,animal,zebra
clothing,accessory,handkerchief
substance,food,chili
substance,food,souffle
storage,container,backpack
covering,clothing,crown
substance,food,scallop
produce,fruit,avocado
instrument,weapon,hammer
organism,animal,rat
decoration,furniture,coffee table
clothing,accessory,muff
connector,fastener,pin
component,auto part,airbag
covering,clothing,cardigan
covering,clothing,lingerie
transportation,vehicle,canoe
substance,food,raspberry
food,dessert,pie
instrument,tool,combination lock
device,electronic device,defibrillator
produce,fruit,apple
tool,kitchen tool,eggbeater
covering,footwear,slipper
food,breakfast,honey
food,breakfast,crepe
activity,game,videogame
tool,kitchen tool,icepick
organism,animal,catfish
device,musical instrument,clarinet
decoration,home decor,stained glass
vehicle,water vehicle,tugboat
substance,food,syrup
utilities,toiletry,soap
food,dessert,whipped cream
animal,sea animal,manatee
organism,animal,badger
food,breakfast,sandwich
covering,clothing,diaper
produce,vegetable,lettuce
instrument,tool,pickax
instrument,weapon,bow
utilities,toiletry,nail file
substance,food,candy
substance,food,applesauce
organism,animal,snake
substance,food,beet
device,musical instrument,cello
connector,fastener,paperclip
food,seafood,seaweed
covering,clothing,snowsuit
instrument,tool,rolling pin
covering,clothing,tie
instrument,tool,sandpaper
storage,container,teacup
animal,insect,dragonfly
food,seafood,octopus
instrument,medical equipment,hearing aid
produce,fruit,kiwi
activity,game,domino
instrument,medical equipment,defibrillator
animal,sea animal,whale
organism,plant,sunflower
substance,food,licorice
device,musical instrument,violin
instrument,tool,duct
produce,vegetable,spinach
covering,clothing,bowler hat
clothing,headwear,crown
clothing,women's clothing,headscarf
vehicle,water vehicle,ship
animal,insect,praying mantis
device,electronic device,hairdryer
vertebrate,mammal,kitten
vertebrate,bird,hummingbird
organism,animal,bison
device,musical instrument,banjo
instrument,tool,rake
food product,condiment,sauce
instrument,tool,peg
instrument,tool,can opener
artifact,toy,frisbee
instrument,tool,pin
device,electronic device,scanner
storage,container,closet
organism,animal,rooster
instrument,tool,wrench
decoration,furniture,hammock
connector,fastener,chain
substance,food,ice-cream cone
clothing,women's clothing,leggings
device,electronic device,treadmill
utilities,toiletry,comb
device,musical instrument,cymbal
vertebrate,bird,pigeon
substance,food,lamb chop
clothing,accessory,bandana
instrument,weapon,baton
clothing,outerwear,shawl
decoration,home decor,gourd
organism,animal,weasel
instrument,tool,screwdriver
substance,food,basil
connector,fastener,belt buckle
covering,clothing,ski boots
connector,fastener,thumbtack
substance,food,fig
instrument,tool,magnifying glass
connector,fastener,zipper
utilities,toiletry,makeup
device,electronic device,coffeemaker
equipment,school supply,calculator
clothing,accessory,cufflink
clothing,outerwear,blazer
substance,food,pastry
animal,sea animal,seahorse
substance,food,orange
instrument,weapon,trident
clothing,accessory,cummerbund
substance,food,turkey
utilities,toiletry,swab
tool,kitchen tool,knife
substance,food,chips
covering,clothing,dress
food,dessert,donut
equipment,school supply,notepad
instrument,tool,wire cutters
sweet,candy,marshmallow
covering,clothing,suspenders
decoration,furniture,desk
substance,food,nacho
artifact,toy,noisemaker
storage,container,shopping cart
transportation,vehicle,roadsweeper
food,seafood,eel
clothing,accessory,patch
clothing,headwear,bowler hat
substance,food,pesto
substance,food,waffle
activity,game,hopscotch
vehicle,water vehicle,boat
substance,food,cordon bleu
food,breakfast,omelet
covering,clothing,uniform
substance,food,soup
instrument,tool,hammer
tool,kitchen tool,spatula
instrument,tool,chicken wire
instrument,tool,thermometer
device,electronic device,slicer
equipment,office supply,rubber band
connector,fastener,padlock
home appliance,kitchen equipment,toaster
covering,footwear,flip-flop
artifact,toy,slingshot
covering,footwear,flipper
vertebrate,mammal,yak
instrument,tool,chain
transportation,vehicle,seaplane
food,dessert,chocolate
instrument,weapon,dagger
substance,food,yogurt
substance,food,tortellini
substance,food,radish
storage,container,canister
component,auto part,steering wheel
decoration,home decor,hourglass
transportation,vehicle,garbage truck
sweet,candy,caramel
covering,clothing,corset
tool,garden tool,rake
instrument,tool,ratchet
clothing,protective clothing,bulletproof vest
clothing,protective clothing,raincoat
substance,food,rhubarb
substance,food,raisin
storage,container,bottle
vertebrate,mammal,chinchilla
substance,food,sardine
organism,plant,spinach
substance,food,muffin
tool,kitchen tool,juicer
organism,animal,goose
organism,animal,ant
substance,food,rabbit
food,dessert,cheesecake
substance,food,peanut
storage,container,coffee pot
food,breakfast,sausage
transportation,vehicle,wagon
organism,plant,tulip
instrument,tool,spoon
food,dessert,cake
covering,clothing,bow
sweet,candy,taffy
instrument,tool,trowel
storage,container,bucket
component,auto part,exhaust pipe
utilities,toiletry,deodorant
instrument,tool,brush
instrument,medical equipment,tweezers
substance,food,potpie
substance,food,vegetable
vertebrate,mammal,panda
instrument,tool,scraper
substance,food,ravioli
utilities,toiletry,nail polish
substance,food,maple syrup
vertebrate,mammal,walrus
substance,food,spaghetti
sweet,candy,candy bar
produce,fruit,peach
component,auto part,windshield wiper
storage,container,can
instrument,tool,match
transportation,vehicle,hovercraft
utilities,toiletry,curling iron
organism,animal,polar bear
connector,fastener,bolt
substance,food,bok choy
instrument,weapon,machete
food,dessert,milkshake
vertebrate,mammal,tiger
instrument,tool,pipe
animal,sea animal,sea urchin
tool,garden tool,watering can
food product,condiment,mustard
device,electronic device,food processor
substance,food,dumpling
equipment,school supply,folder
component,auto part,roof rack
storage,container,test tube
tool,kitchen tool,sifter
substance,food,pasta
clothing,accessory,bowtie
substance,food,green beans
covering,clothing,boot
decoration,furniture,mattress
produce,fruit,cherry
instrument,tool,latch
clothing,protective clothing,lab coat
vertebrate,mammal,leopard
covering,clothing,snowshoe
decoration,home decor,wallpaper
organism,animal,monkey
clothing,headwear,hood
organism,animal,earwig
vertebrate,mammal,rabbit
decoration,home decor,pillow
food,dessert,creme brulee
substance,food,honey
substance,food,crepe
clothing,women's clothing,lingerie
instrument,tool,sawhorse
substance,food,flour
animal,sea animal,shrimp
substance,food,watermelon
covering,clothing,nightshirt
decoration,home decor,aquarium
storage,container,wheelbarrow
connector,fastener,strap
substance,food,cranberry
covering,footwear,stockings
food,dessert,cupcake
food,seafood,clam
covering,clothing,loincloth
instrument,tool,mop
substance,food,peppermint
substance,food,seafood
covering,clothing,hat
instrument,tool,tweezers
covering,clothing,underwear
equipment,school supply,notebook
substance,food,chicken
decoration,furniture,recliner
substance,food,sandwich
device,electronic device,smoke alarm
covering,clothing,shoe
decoration,home decor,album
instrument,tool,sledgehammer
clothing,accessory,belt buckle
organism,animal,spider
produce,vegetable,artichoke
storage,container,mug
instrument,weapon,slingshot
connector,fastener,peg
device,musical instrument,french horn
device,musical instrument,saxophone
storage,container,wok
organism,animal,penguin
connector,fastener,clothespin
clothing,accessory,headband
transportation,vehicle,rickshaw
device,electronic device,tablet
component,auto part,headrest
tool,garden tool,trowel
animal,sea animal,clam
utilities,toiletry,mascara
instrument,tool,broom
storage,container,wine cooler
substance,food,hotdog
substance,food,grape
produce,vegetable,cilantro
vertebrate,mammal,orangutan
instrument,tool,cord
covering,clothing,fishnet stockings
storage,container,bathtub
food,drink,soda
substance,food,cookie
substance,food,dessert
substance,food,lollipop
vertebrate,mammal,antelope
substance,food,blueberry
artifact,toy,dollhouse
decoration,furniture,highchair
organism,animal,gopher
utilities,toiletry,flatiron
instrument,tool,flyswatter
instrument,medical equipment,inhaler
storage,container,coffin
equipment,school supply,lunchbox
organism,animal,crow
artifact,toy,squirt gun
substance,food,ice cream
device,electronic device,blower
clothing,protective clothing,life jacket
decoration,furniture,rocking chair
instrument,tool,scoop
vertebrate,mammal,hamster
substance,food,strawberry
organism,animal,goat
artifact,toy,train set
substance,food,toast
instrument,tool,anvil
animal,sea animal,snail
equipment,office supply,ink
covering,clothing,beanie
component,auto part,dashboard
instrument,medical equipment,walker
transportation,vehicle,ferry
clothing,outerwear,fur coat
substance,food,guacamole
food,breakfast,croissant
food,dessert,cheese
instrument,tool,staple gun
covering,clothing,panties
connector,fastener,staple
vertebrate,mammal,mouse
animal,sea animal,shark
instrument,weapon,cleaver
vertebrate,mammal,alpaca
utilities,toiletry,washcloth
storage,container,toolbox
decoration,home decor,poster
storage,container,piggy bank
animal,insect,mosquito
substance,food,carrot
organism,animal,sheep
device,electronic device,generator
food,seafood,catfish
vertebrate,mammal,meerkat
instrument,medical equipment,ice pack
transportation,vehicle,skateboard
decoration,home decor,coaster
covering,clothing,polo shirt
vertebrate,mammal,wolf
device,electronic device,webcam
food,dessert,birthday cake
device,electronic device,toaster
organism,animal,giraffe
instrument,medical equipment,bandage
instrument,tool,wrench
produce,vegetable,pea
device,musical instrument,mandolin
storage,container,bowl
decoration,home decor,statue
clothing,accessory,buckle
clothing,women's clothing,dress
food,seafood,caviar
clothing,protective clothing,spacesuit
device,electronic device,hotplate
component,auto part,grille
equipment,school supply,eraser
instrument,weapon,sword
device,musical instrument,horn
transportation,vehicle,snowplow
substance,food,tomato
instrument,tool,dustpan
instrument,weapon,blowtorch
vehicle,water vehicle,airboat
instrument,weapon,gun
tool,kitchen tool,corkscrew
transportation,vehicle,bus
animal,sea animal,catfish
connector,fastener,bow
organism,animal,butterfly
covering,clothing,overalls
activity,game,game
transportation,vehicle,truck
food,dessert,fruitcake
equipment,school supply,binder
organism,plant,artichoke
artifact,toy,hula hoop
substance,food,macaroni
food,dessert,mousse
substance,food,berry
clothing,headwear,beanie
substance,food,gravy
produce,vegetable,leek
vertebrate,mammal,dalmatian
device,musical instrument,harp
organism,animal,octopus
organism,plant,cilantro
substance,food,pumpkin
organism,animal,chick
instrument,medical equipment,wheelchair
covering,clothing,bandana
substance,food,cake mix
activity,game,jump rope
tool,garden tool,hoe
clothing,accessory,tie
food,drink,tea
produce,vegetable,zucchini
clothing,women's clothing,corset
organism,animal,coyote
covering,clothing,leotard
substance,food,olive
covering,clothing,kilt
artifact,toy,yo-yo
instrument,weapon,spear
instrument,tool,hammer
substance,food,sweet potato
substance,food,arugula
instrument,tool,nail file
instrument,tool,blower
device,musical instrument,tambourine
vertebrate,mammal,fox
substance,food,sausage
decoration,home decor,terrarium
covering,clothing,robe
decoration,home decor,doorknocker
vertebrate,mammal,pony
covering,clothing,cummerbund
instrument,medical equipment,swab
equipment,office supply,clipboard
substance,food,kale
component,auto part,seatbelt
animal,livestock,lamb
device,electronic device,cellphone
device,musical instrument,organ
device,electronic device,camera
organism,animal,cougar
device,electronic device,stereo
home appliance,kitchen equipment,freezer
vertebrate,mammal,manatee
instrument,tool,ratchet
substance,food,prune
substance,food,peanut butter
connector,fastener,latch
substance,food,pepper
vertebrate,bird,vulture
substance,food,banana split
food,dessert,caramel
substance,food,flan
decoration,jewelry,anklet
organism,animal,boar
device,electronic device,screen
decoration,jewelry,necklace
home appliance,kitchen equipment,icemaker
home appliance,kitchen equipment,mixer
utilities,toiletry,hairspray
vertebrate,mammal,whale
device,musical instrument,bassoon
produce,fruit,lemon
clothing,headwear,bandana
food,breakfast,syrup
transportation,vehicle,bike
substance,food,tortilla
instrument,tool,can opener
instrument,weapon,missile
substance,food,papaya
storage,container,flask
substance,food,cashew
activity,game,board game
organism,animal,eel
instrument,tool,cleaver
covering,footwear,stiletto
decoration,home decor,birdhouse
storage,container,pocket
food,breakfast,hamburger
food,seafood,crab
organism,animal,camel
substance,food,scone
organism,plant,bonsai
transportation,vehicle,jetski
clothing,accessory,suspenders
covering,clothing,bonnet
vertebrate,mammal,elephant
instrument,weapon,icepick
substance,food,tiramisu
device,electronic device,curling iron
decoration,jewelry,cufflink
vertebrate,bird,chicken
